 RI-07       NR-4676-B     30       100           M	 11kV HVDC-2(aux) at HVDC Rihand 2- POWERGRID (NP-1076-B meter replaced on 010619)
 RI-08       NR-4681-B     15	    100           M	 11kV HVDC-3(aux) at HVDC Rihand III(from CPS Board)-PG(NP-1973-B relpaced on 29.04.2019)
 RI-11       NP-1276-A     2000     3636.3636     C	 400kV Singrauli - 1 at Rihand STPS  
 RI-12       NP-1278-A     2000     3636.3636     C	 400kV Singrauli - 2 at Rihand STPS   
 RI-13       NP-1280-A     2000     3636.3636     C	 400kV HVDC - 1 at Rihand STPS  
 RI-14       NP-1282-A     2000     3636.3636     C	 400kV HVDC - 2 at Rihand STPS  
 RI-21       NP-1625-A     1000     3636.3636     S	 GT-1 (400kV) at Rihand STPS  
 RI-22       NP-6124-A     1000     3636.3636     S	 GT-2 (400kV) at Rihand STPS  
 RI-23       NP-1285-A     1000     3636.3636     S	 ICT-1 (400kV)  at Rihand STPS
 RI-37	     NP-5047-A	   1000     1200	  M	 ST-2 (132kV) at Rihand-1 STPS
 RI-38       NP-5046-A	   1000     1200          M      132kV BUS Coupler
 RI-24       NP-3050-A     500      3636.3636     S	 ICT-2 (400kV) at Rihand STPS
 RI-31       NR-4542-A     2000     3636.3636     M	 400kV Allahabad-1 at Rihand-2 STPS
 RI-32       NR-4415-A     2000     3636.3636     M	 400kV Allahabad-2 at Rihand-2 STPS
 RI-33       NP-3033-A     2000     3636.3636     M	 400kV Bus-I Sectionaliser at Rihand-2 STPS
 RI-34       NP-3045-A     2000     3636.3636     M	 400kV Bus-II Sectionaliser at Rihand-2 STPS
 RI-35       NP-1744-A     500      1200          M	 ST-3 (132kV) at Rihand-2 STPS
 RI-41       NP-3044-A     2000     3636.3636     C	 400kV Allahabad-1 at Rihand-2 STPS
 RI-42       NR-4411-A     2000     3636.3636     C	 400kV Allahabad-2 at Rihand-2 STPS
 RI-43       NP-3032-A     2000     3636.3636     C	 400kV Bus-I Sectionaliser at Rihand-2 STPS
 RI-44       NP-3046-A     2000     3636.3636     C	 400kV Bus-II Sectionaliser at Rihand-2 STPS
 RI-51       NP-1325-A     1000     3636.3636     S	 GT-3 (400 kV) at Rihand-2 STPS
 RI-52       NP-1326-A     1000     3636.3636     S	 GT-4 (400 kV) at Rihand-2 STPS
 RI-53       NP-8248-A     2000     3636.3636     M	 400kV Bus-IV Sectionaliser at Rihand-3 STPS
 RI-55       NP-8047-A     2000     3636.3636     M	 400kV Bus-III Sectionaliser at Rihand-3 STPS
 RI-56       NP-6123-A     2000     3636.3636     S	 GT-5 (400kV) at Rihand-3 STPS
 RI-54       NP-6125-A     500      3636.3636     S	 ST-5 (400kV) at Rihand-3 STPS
 RI-57       NP-7735-A     2000     3636.3636     S	 GT-6 (400kV) at Rihand-3 STPS
 RI-58	     NP-7791-A     500      3636.3636     S	 ST-6 (400kV) at Rihand-3 STPS
 RI-59       NP-8144-A     2000     3636.3636     M	400kV Vindhyachal PG-I at Rihand-3 STPS
 RI-60       NP-7517-A     2000     3636.3636     C	400kV Vindhyachal PG-I at Rihand-3 STPS
 RI-61       NR-4412-A     2000     3636.3636     M	400kV Vindhyachal PG-II at Rihand-3 STPS (NP-7516-A rep on 301219)
 RI-62       NP-7387-A     2000     3636.3636     C	400kV Vindhyachal PG-II at Rihand-3 STPS
 AU-01       NP-1522-A     1200     2000          M	220kV Agra - 1 at Auraiya CCPP  
 AU-02       NP-1507-A     1200     2000          M	220kV Agra - 2 at Auraiya CCPP  
 AU-03       NP-8129-A     600      2000          M	220kV UPPC - 1 at Auraiya CCPP
 AU-04       NP-8028-A     600      2000          M	220kV UPPC - 2 at Auraiya CCPP 
 AU-05       NP-1513-A     600      2000          M	220kV Malanpur at Auraiya CCPP 
 AU-06       NP-6791-A     600      2000          M	220kV Mehgaon at Auraiya CCPP
 AU-07       NP-5019-A     1200     2000          M	ICT-1 (220kV) at Auraiya CCPP  
 AU-08       NP-1501-A     1200     2000          M	ICT-2 (220kV) at Auraiya CCPP  
 AU-09       NP-1768-A     600      2000          M	220kV Phaphund (Railways)-1 at Auraiya CCPP
 AU-10       NP-1790-A     600      2000          M	220kV Phaphund (Railways)-2 at Auraiya CCPP
 AU-11       NP-1506-A     1200     2000          C	220kV Agra-1 at Auraiya CCPP
 AU-12       NP-1508-A     1200     2000          C	220kV Agra-2 at Auraiya CCPP  
 AU-13       NP-1512-A     600      2000          C	220kV UPPC-1 at Auraiya CCPP 
 AU-14       NP-1510-A     600      2000          C	220kV UPPC-2 at Auraiya CCPP 
 AU-15       NP-1514-A     600      2000          C	220kV Malanpur at Auraiya CCPP 
 AU-16       NP-1516-A     600      2000          C	220kV Mehgaon at Auraiya CCPP 
 AU-17       NP-1504-A     1200     2000          C	ICT-1 (220kV) at Auraiya CCPP  
 AU-18       NP-1502-A     1200     2000          C	ICT-2 (220kV) at Auraiya CCPP  
 AU-19       NP-1769-A     600      2000          C	220kV Phaphund (Railways)-1 at Auraiya CCPP
 AU-20       NP-7757-A     600      2000          C	220kV Phaphund (Railways)-2 at Auraiya CCPP
 AU-21       NP-1523-A     600      2000          S	GT-1 (Gas Turb-220kV) at Auraiya CCPP
 AU-22       NP-1524-A     600      2000          S	GT-2 (Gas Turb-220kV) at Auraiya CCPP 
 AU-23       NP-1527-A     600      2000          S	GT-3 (Gas Turb-220kV) at Auraiya CCPP 
 AU-24       NP-1528-A     600      2000          S	GT-4 (Gas Turb-220kV) at Auraiya CCPP 
 AU-25       NP-1515-A     600      2000          S	GT-5 (Steam Turb-220kV) at Auraiya CCPP 
 AU-26       NP-1525-A     600      2000          S	GT-6 (Steam Turb-220kV) at Auraiya CCPP 
 AU-27       NP-1520-A     600      2000          S	ST-1 (Stn. Tfr-220kV) at Auraiya CCPP 
 AU-28       NP-6781-A     600      2000          S	ST-2 (Stn. Tfr-220kV) at Auraiya CCPP
 AU-31       NR-8128-A     1000     3636.3636     L	400kV Agra-1 at Auraiya CCPP (NP-7760-A rep on 250919)
 AU-32       NP-1518-A     2000     3636.3636     L	400kV Agra-2 at Auraiya CCPP
 AU-33	     NP-5038-A     2000	    3636.3636	  L     400kV Kanpur-2 at Auraiya CCPP
 AU-34	     NP-5037-A     2000	    3636.3636     L     400kV Kanpur-1 at Auriya CCPP 
 AN-01       NP-1310-A     600      2000          M	220kV Swaimadhopur at Anta CCPP 
 AN-02       NP-1307-A     600      2000          M	220kV Lalsot at Anta CCPP (220kV Dausa-2 at Anta CCPP)
 AN-03       NP-7999-A     600      2000          M	220kV Bhilwara-1 at Anta CCPP 
 AN-04       NP-1306-A     600      2000          M	220kV Bhilwara-2 at Anta CCPP 
 AN-05       NP-1308-A     600      2000          M	220kV Kota at Anta CCPP 
 AN-06       NP-6793-A     600      2000          M	220kV RAPS-C at Anta CCPP (replaced on 28th feb 2020 NR-3856-A)
 AN-11       NP-1311-A     600      2000          C	220kV Swaimadhopur at Anta CCPP 
 AN-12       NP-1312-A     600      2000          C	220kV Lalsot at Anta CCPP
 AN-13       NP-1313-A     600      2000          C	220kV Bhilwara-1 at Anta CCPP 
 AN-14       NP-1305-A     600      2000          C	220kV Bhilwara-2 at Anta CCPP 
 AN-15       NP-1314-A     600      2000          C	220kV Kota at Anta CCPP 
 AN-16       NP-1300-A     600      2000          C	220kV RAPS-c at Anta CCPP 
 AN-21       NP-1304-A     600      2000          S	GT-1 (220kV) at Anta CCPP 
 AN-22       NP-1303-A     600      2000          S	GT-2 (220kV) at Anta CCPP 
 AN-23       NP-1302-A     600      2000          S	GT-3 (220kV) at Anta CCPP 
 AN-24       NP-8139-A     600      2000          S	GT-4 (220kV) at Anta CCPP
 DA-01       NP-1195-A     1000     3636.3636     M	ICT-1 (400kV) at Dadri-NTPC  -meterswapped from 220kv on 01.12.08
 DA-02       NP-1200-A     1000     3636.3636     M	ICT-2 (400kV) at Dadri-NTPC  
 DA-03       NP-6795-A     1000     3636.3636     M	ICT-3 (400kV) at Dadri-NTPC 
 DA-04       NP-1194-A     1000     3636.3636     M	ICT-4 (400kV) at Dadri-NTPC  
 DA-10       NP-3059-A     1000     3636.3636     M	ICT-5 (400kV) at Dadri-NTPC
 DA-52       NP-1177-A     1000     3636.3636     M	GT-5-Stage-2 (400kV) at Dadri-NTPC (NP-6796-A rep on 100819)
 DA-53       NP-1176-A     1000     3636.3636     C	GT-5-Stage-2 (400kV) at Dadri-NTPC (NP-6794-A rep on 100819)
 DA-54       NP-8227-A     1000     3636.3636     M	GT-6-Stage-2 (400kV) at Dadri-NTPC
 DA-55       NP-6623-A     1000     3636.3636     C	GT-6-Stage-2 (400kV) at Dadri-NTPC
 DA-05       NR-4692-B     40       60            M	6.6kV HVDC-1(aux) at Dadri-HVDC(from thermal)  (NP-1053-B rep on 120320)
 DA-06       NR-4694-B     40       60            M	6.6kV HVDC-2(aux) at Dadri-HVDC(from Gas)(NP-7118-B replaced on 11.03.20)
 DA-07       NP-1297-A     400      2000          M	220kV Railways-1 at Dadri GPS 
 DA-08       NP-1872-A     400      2000          M	220kV Railways-2 at Dadri GPS
 DA-09       NP-6622-A     1600     2000          M	220kV feeder from Dadri Gas to Thermal
 DA-27       NP-3058-A     1600     2000          S	220kV Bus-3 sectionaliser (Dadri_Th)
 DA-28       NP-3057-A     1600     2000          S	220kV Bus-4 sectionaliser (Dadri_Th)
 DA-21       NP-1199-A     1600     2000          S	ICT-1 (220kV) at Dadri-NTPC      -meterswapped from 220kv on 01.12.08
 DA-22       NP-1196-A     1600     2000          S	ICT-2 (220kV) at Dadri-NTPC  
 DA-23       NP-1197-A     1600     2000          S	ICT-3 (220kV) at Dadri-NTPC  
 DA-24       NP-1198-A     1600     2000          S	ICT-4 (220kV) at Dadri-NTPC 
 DA-25       NP-1889-A     400      2000          S	220kV Dadri GPS(NTPC)-1 at Dadri (Railways)
 DA-26       NP-6792-A     400      2000          S	220kV Dadri GPS(NTPC)-2 at Dadri (Railways)
 DL-75       NP-8079-A     2000     3636.3636     M	400kV Harsh Vihar(Loni)-1 at Dadri
 DL-76       NP-8081-A     2000     3636.3636     c	400kV Harsh Vihar(Loni)-1 at Dadri
 DL-77       NP-8080-A     2000     3636.3636     M	400kV Harsh Vihar(Loni)-2 at Dadri
 DL-78       NP-8082-A     2000     3636.3636     c	400kV Harsh Vihar(Loni)-2 at Dadri
 DA-31       NP-8224-A     2000     3636.3636     L	400kV HVDC-1 at Dadri-NTPC
 DA-32       NP-1771-A     2000     3636.3636     L	400kV HVDC-2 at Dadri-NTPC  
 DA-33       NP-1185-A     2000     3636.3636     S	400kV Greater Noida at Dadri-NTPC 
 DA-34       NP-1184-A     2000     3636.3636     L	400kV Maharanibagh at Dadri-NTPC  
 DA-35       NP-1189-A     2000     3636.3636     L	400kV Mandaula-1 at Dadri-NTPC  
 DA-36       NP-1188-A     2000     3636.3636     L	400kV Mandaula-2 at Dadri-NTPC  
 DA-37       NP-8225-A     2000     3636.3636     L	400kV Muradnagar at Dadri-NTPC
 DA-38       NP-1187-A     2000     3636.3636     L	400kV Panipat-1 at Dadri-NTPC   
 DA-39       NP-1186-A     1000     3636.3636     L	400kV Malerkotla at Dadri-NTPC
 DA-40       NP-1725-A     2000     3636.3636     L     400kV Panipat-2 at Dadri-NTPC    
 DA-41       NT-0001-A     1000	    3636.3636	  C	(Orig No.01955922) ICT-1 (400kV) side at Dadri,NTPC
 DA-42       NT-0002-A     1000	    3636.3636	  C	(Orig No.01955923) ICT-2 (400kV) side at Dadri,NTPC
 DA-43       NT-0003-A     1000	    3636.3636	  C	(Orig No.01955842) ICT-3 (400kV) side at Dadri,NTPC
 DA-44       NT-0004-A     1000	    3636.3636	  C	(Orig No.01955892) ICT-4 (400kV) side at Dadri,NTPC
 DA-45       NT-0005-A     2000	    3636.3636	  C	(Orig No.01955844) 400kV Mandola-1 at Dadri, NTPC
 DA-46       NT-0006-A     2000	    3636.3636	  C	(Orig No.01955850) 400kV Mandola-2 at Dadri, NTPC
 DA-47       NT-0007-A     2000	    3636.3636	  C	(Orig No.01955851) 400kV Greater Noida at Dadri,NTPC
 DA-48       NP-8226-A     2000	    3636.3636	  C	(Orig No.01955852) 400kV Maharanibagh at Dadri,NTPC
 DA-49       NT-0009-A     2000	    3636.3636	  C	(Orig No.01955847) 400kV Muradnagar at Dadri, NTPC
 DA-50       NT-0010-A     2000	    3636.3636	  C	(Orig No.01955846) 400kV Panipat at Dadri, NTPC 
 DA-51       NT-0011-A     1000	    3636.3636	  C	(Orig No.01955848) 400kV Malerkotla at Dadri, NTPC
 DA-11       NP-8228-A     150	    300  	  M	33 Kv Side ICT-1 (33kV/220kV) at Dadri Solar,NTPC
 DA-12       NP-5408-A     200	    2000  	  S	220 Kv Side ICT-1 (33kV/220kV) at Dadri Solar,NTPC
 DA-56       NP-1193-A     200      60            S	6.6kV HVDC-2(aux) at Dadri-NTPC(from Gas)
 UN-01       NP-1243-A     800      2000          M	220kV Raebarely-1 at Unchahar TPS 
 UN-02       NP-1241-A     800      2000          M	220kV Raebarely-2 at Unchahar TPS
 UN-29	     NP-5164-A     800	    2000          M	220kV Raibareli-3 at Unchahar TPS 
 UN-03       NP-1245-A     800      2000          M	220kV Fatehpur-1 at Unchahar TPS 
 UN-04       NP-1263-A     800      2000          M	220kV Fatehpur-2 at Unchahar TPS 
 UN-05       NP-1254-A     1600     2000          M	Bus-I sect. (220kV) at Unchahar TPS 
 UN-06       NP-1252-A     1600     2000          M	Bus-II sect. (220kV) at Unchahar TPS 
 UN-07       NP-1255-A     800      2000          M	220kV Kanpur-1 at Unchahar TPS 
 UN-08       NP-1257-A     800      2000          M	220kV Kanpur-2 at Unchahar TPS 
 UN-09       NP-1259-A     800      2000          M	220kV Kanpur-3 at Unchahar TPS 
 UN-10       NP-1261-A     800      2000          M	220kV Kanpur-4 at Unchahar TPS 
 UN-11       NP-1244-A     800      2000          C	220kV Raebarely-1 at Unchahar TPS 
 UN-12       NP-1242-A     800      2000          C	220kV Raebarely-2 at Unchahar TPS 
 UN-13       NP-1246-A     800      2000          C	220kV Fatehpur-1 at Unchahar TPS 
 UN-14       NP-1264-A     800      2000          C	220kV Fatehpur-2 at Unchahar TPS
 UN-30       NP-5033-A     800      2000          C	220kV Raibareli-3 at Unchahar TPS
 UN-15       NP-1253-A     1600     2000          C	Bus-I  sect. (220kV) at Unchahar TPS 
 UN-16       NP-1251-A     1600     2000          C	Bus-II  sect. (220kV) at Unchahar TPS 
 UN-17       NP-1256-A     800      2000          C	220kV Kanpur-1 at Unchahar TPS 
 UN-18       NP-1258-A     800      2000          C	220kV Kanpur-2 at Unchahar TPS 
 UN-19       NP-1260-A     800      2000          C	220kV Kanpur-3 at Unchahar TPS 
 UN-20       NP-1262-A     800      2000          C	220kV Kanpur-4 at Unchahar TPS 
 UN-21       NP-1249-A     800      2000          S	GT-1 (220kV) at Unchahar TPS 
 UN-22       NP-1250-A     800      2000          S	GT-2 (220kV) at Unchahar TPS 
 UN-23       NP-1265-A     800      2000          S	GT-3 (220kV) at Unchahar TPS 
 UN-24       NP-1268-A     800      2000          S	GT-4 (220kV) at Unchahar TPS
 UN-31       NP-5034-A     800      2000          S	GT-5 (220kV) at Unchahar TPS
 UN-25       NP-1247-A     150      2000          S	ST-1 (220kV) at Unchahar TPS 
 UN-26       NP-1248-A     150      2000          S	ST-2 (220kV) at Unchahar TPS 
 UN-27       NP-1266-A     400      2000          S	ST-3 (220kV) at Unchahar TPS 
 UN-28       NP-1267-A     400      2000          S	ST-4 (220kV) at Unchahar TPS 
 UN-32       NP-8170-A     250      300           M	33Kv Side ICT-1 (33kV/220kV) at Unchahar solar,NTPC
 UN-33       NP-8171-A     200      2000          S	220Kv Side ICT-1 (33kV/220kV) at Unchahar solar,NTPC
 UN-34       NR-4616-A     2000     3636.3636     M	400kV Fatehpur-I  at Unchahar TPS
 UN-35       NR-3774-A     2000     3636.3636     M	400kV Fatehpur-II at Unchahar TPS
 UN-36       NR-3780-A     2000     3636.3636     C	400kV Fatehpur-I  at Unchahar TPS
 UN-37       NR-3783-A     2000     3636.3636     C	400kV Fatehpur-II at Unchahar TPS
 UN-38       NR-4629-A     2000     3636.3636     S	GT-1 (400kV) at Unchahar TPS(STAGE-4) 
 UN-39       NR-3779-A     500      3636.3636     S	ST-1 (400kV) at Unchahar TPS(STAGE-4)
 UN-40       NR-3660-A     1000     3636.3636     S	ICT-1 (400 kV) at Unchahar TPS (STAGE-4)
 UN-41       NP-7736-A     1600     2000          M	ICT-1 (220 kV) at Unchahar TPS (STAGE-4) (NR-3654-A rep on 140320)
 TA-01       NR-4365-A     600      3636.3636     S	ICT-1 (400 kV) at Tanda Stage-2
 TA-02       NR-4363-A     2500     2000          M	ICT-1 (220 kV) at Tanda Stage-2
 TA-03       NR-4366-A     600      3636.3636     S	ICT-2 (400 kV) at Tanda Stage-2
 TA-04       NR-4364-A     2500     2000          M	ICT-2 (220 kV) at Tanda Stage-2
 TA-05       NR-3797-A     2000     3636.3636     M	400 kV Azamgarh at Tanda Stage-2
 TA-06       NR-3796-A     2000     3636.3636     C	400 kV Azamgarh at Tanda Stage-2
 TA-07       NR-4367-A     2000     3636.3636     M	400 kV Sultanpur at Tanda Stage-2
 TA-08       NR-3794-A     2000     3636.3636     C	400 kV Sultanpur at Tanda Stage-2
 TA-09       NR-4372-A     3000     3636.3636     M	400 kV Basti-1 at Tanda Stage-2
 TA-10       NR-4373-A     3000     3636.3636     C	400 kV Basti-1 at Tanda Stage-2
 TA-11       NR-4362-A     3000     3636.3636     M	400 kV Basti-2 at Tanda Stage-2
 TA-12       NR-3793-A     3000     3636.3636     C	400 kV Basti-2 at Tanda Stage-2
 TA-13       NR-4368-A     1250     3636.3636     S	HV Side of GT-5 at Tanda Stage-2
 TA-14       NR-4369-A     1250     3636.3636     S	HV Side of GT-6 at Tanda Stage-2
 TA-15       NR-3793-A     500      3636.3636     S	400 KV Side of ST-3 at Tanda Stage-2 (NR-4369-A rep on 180420)
 TA-16       NR-4371-A     500      3636.3636     S	400 KV Side of ST-4 at Tanda Stage-2
 DL-31       NP-6696-A     600      2000          M	220kV MIA at BTPS (NP-5327-A  rep on 100919 with NP-6696-A)
 DL-32       NP-5175-A     600      2000          M	220kV Noida Sec-38 at BTPS  (Noida_Gazipur at BTPS LILO at Sector-38 noida on 080819)
 DL-33       NP-3051-A     600      2000          M	220kV Ballabgarh-1 at BTPS 
 DL-34       NP-5348-A     600      2000          M	220kV Ballabgarh-2 at BTPS
 DL-35       NP-1124-A     600      2000          M	220kV TBC at BTPS 
 KD-01       NP-8807-A     500      3636.3636     S	GT-1 (400 kV) at Koldam HPP 
 KD-02       NP-8808-A     500      3636.3636     S	GT-2 (400 kV) at Koldam HPP 
 KD-03       NP-8809-A     500      3636.3636     S	GT-3 (400 kV) at Koldam HPP 
 KD-04       NP-8810-A     500      3636.3636     S	GT-4 (400 kV) at Koldam HPP
 KD-05       NP-8833-A     2000     3636.3636     M	400 kV Nalagarh at Koldam HPP 
 KD-06       NP-8832-A     2000     3636.3636     C	400 kV Nalagarh at Koldam HPP
 KD-07       NP-8838-A     2000     3636.3636     M	400 kV Banala at Koldam HPP 
 KD-08       NP-8837-A     2000     3636.3636     C	400 kV Banala at Koldam HPP
 KD-09       NP-8840-A     2000     3636.3636     M	400 kV Ludhiana-1 at Koldam HPP 
 KD-10       NP-8839-A     2000     3636.3636     C	400 kV Ludhiana-1 at Koldam HPP
 KD-11       NP-8841-A     2000     3636.3636     M	400 kV Ludhiana-2 at Koldam HPP 
 KD-12       NP-8811-A     2000     3636.3636     C	400 kV Ludhiana-2 at Koldam HPP
 BS-01       NP-1576-A     1000     2000          M	220kV Pong at Bairasiul HPS
 BS-02       NP-6994-A     1000     2000          M	220kV Jessore at Bairasiul HPS
 BS-11       NP-8599-A     1000     2000          C	220kV Pong at Bairasiul HPS
 BS-12       NP-1577-A     1000     2000          C	220kV Jessore at Bairasiul HPS (NP-1579-A rep on 140719)
 BS-21       NP-1015-B     1000     100           S	Genr-1 (11kV) at Bairasiul HPS
 BS-22       NP-1366-A     250      2000          S	Genr-2 (220 kV) at Bairasiul HPS ( NP-1964-B REPLACED)
 BS-23       NP-1965-B     1000     100           S	Genr-3 (11kV) at Bairasiul HPS
 SL-01       NR-3334-A     800      2000          M	220kV Jammu-1 at Salal HPS (NP-1595-A rep on 280120)
 SL-02       NR-3419-A     800      2000          M	220kV Jammu-2 at Salal HPS (NP-1597-A rep on 290120)
 SL-03       NR-3368-A     800      2000          M	220kV Kishenpur-1 at Salal HPS (NP-1589-A rep on 280120)
 SL-04       NR-3369-A     800      2000          M	220kV Kishenpur-2 at Salal HPS (NP-1593-A rep on 280120)
 SL-05       NR-3370-A     800      2000          M	220kV Kishenpur-3 at Salal HPS (NP-1591-A rep on 290120)
 SL-06       NR-3372-A     800      2000          M	220kV Kishenpur-4 at Salal HPS (NP-1892-A rep on 290120)
 SL-11       NR-3425-A     800      2000          C	220kV Jammu-1 at Salal HPS (NP-1596-A rep on 280120)
 SL-12       NR-3377-A     800      2000          C	220kV Jammu-2 at Salal HPS (NP-1598-A rep on 290120)
 SL-13       NR-3376-A     800      2000          C	220kV Kishenpur-1 at Salal HPS (NP-1590-A rep on 280120) 
 SL-14       NR-3540-A     800      2000          C	220kV Kishenpur-2 at Salal HPS (NP-1594-A rep on 280120)
 SL-15       NR-3542-A     800      2000          C	220kV Kishenpur-3 at Salal HPS (NP-1592-A rep on 290120)
 SL-16       NR-3545-A     800      2000          C	220kV Kishenpur-4 at Salal HPS (NP-1588-A rep on 290120)
 SL-21       NR-4657-B     1500     100           S	Genr-1 (11kV) at Salal HPS (NP-1977-B rep on 120120)
 SL-22       NR-4661-B     1500     100           S	Genr-2 (11kV) at Salal HPS (NP-1953-B rep on 120120)
 SL-23       NR-4654-B     1500     100           S	Genr-3 (11kV) at Salal HPS (NP-7053-B rep in Dec-19)
 SL-24       NR-4662-B     1500     100           S	Genr-4 (11kV) at Salal HPS (NP-1955-B rep on 120120)
 SL-25       NR-4663-B     1500     100           S	Genr-5 (11kV) at Salal HPS (NP-1956-B rep on 120120)
 SL-26       NR-4664-B     1500     100           S	Genr-6 (11kV) at Salal HPS (NP-1979-B rep on 120120)
 SL-27       NR-3547-A     50       2000          S	SUT(220/11kV) at Salal HPS
 TP-01       NP-7722-A     300      2000          M	220kV CBGunj-1 at Tanakpur HPS (NR-4482-A REP ON 140320)
 TP-02       NP-5198-A     300      2000          M	220kV Sitarganj-PG at Tanakpur HPS
 TP-03       NP-1205-A     600      1200          S	132kV Nepal at Tanakpur HPS
 TP-24       NP-8178-A     300      2000          M	ICT (220 kV side) at Tanakpur HPS(Tanakpur-Nepal) (ct ratio change fromm 300 after 100 MVA augmentation on 09.12.19)
 TP-25       NP-8179-A     300      2000          C	ICT (220 kV side) at Tanakpur HPS(Tanakpur-Nepal)  
 TP-11       NP-1206-A     600      1200          C	132kV Nepal at Tanakpur HPS 
 TP-12       NP-1202-A     300      2000          C	220kV CBGunj-1 at Tanakpur HPS 
 TP-13       NP-1204-A     300      2000          C	220kV Sitarganj-PG at Tanakpur HPS 
 TP-21       NP-7785-B     600      100           S	Genr-1 (11kV) at Tanakpur HPS
 TP-22       NP-1958-B     600      100           S	Genr-2 (11kV) at Tanakpur HPS
 TP-23       NP-1959-B     600      100           S	Genr-3 (11kV) at Tanakpur HPS
 CM-01       NP-1570-A     1500     3636.3636     M	400kV Jallandher-1 at Chamera HPS
 CM-02       NP-8596-A     1500     3636.3636     M	400kV Jallandher-2 at Chamera HPS     
